keyword,cluster,est_volume,intent,cv_distance,difficulty,ai_risk,priority_rank,note
保育士 内定 辞退 メール 例文,C11_採用側・選考突破【中核】,100,Do,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 転職 給与交渉 やり方,C11_採用側・選考突破【中核】,50,Do,A,Low,低,,推定/根拠:採用側の交渉余地（どこまで動かせるか）は決裁者情報。単価の高い層に刺さる【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職サイト,C1_転職サイト・エージェント比較,"5,000",Buy,A,High,低,,推定/根拠:主要アフィリ比較記事が20〜73社比較で量産。新規は6ヶ月では取れない
保育士 転職サイト おすすめ,C1_転職サイト・エージェント比較,"5,000",Buy,A,High,低,,推定/根拠:SERP1〜10位が全て比較ランキング（マイベスト/転職アンテナ/転職.jp等）
保育士 転職サイト ランキング,C1_転職サイト・エージェント比較,"1,000",Buy,A,High,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 比較,C1_転職サイト・エージェント比較,"1,000",Buy,A,High,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職エージェント,C1_転職サイト・エージェント比較,"1,000",Buy,A,High,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職エージェント おすすめ,C1_転職サイト・エージェント比較,"1,000",Buy,A,High,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 求人サイト おすすめ,C1_転職サイト・エージェント比較,"1,000",Buy,A,High,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 電話なし,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:『電話なしで使える』を見出しに持つ比較記事が複数＝実需あり。3語で競合薄め【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職サイト しつこい,C1_転職サイト・エージェント比較,100,Know,B,Mid,低,,推定/根拠:『しつこい』口コミ解説記事が多数ヒット＝実検索あり
保育士 転職サイト 使わない,C1_転職サイト・エージェント比較,100,Know,B,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 登録だけ,C1_転職サイト・エージェント比較,100,Know,B,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 複数登録,C1_転職サイト・エージェント比較,100,Know,B,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 断り方,C1_転職サイト・エージェント比較,100,Do,B,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 退会方法,C1_転職サイト・エージェント比較,100,Do,C,Low,中,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト デメリット,C1_転職サイト・エージェント比較,100,Know,B,Mid,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 転職サイト 使わないほうがいい,C1_転職サイト・エージェント比較,50,Know,B,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 人材紹介 手数料 仕組み,C1_転職サイト・エージェント比較,100,Know,B,Low,中,,推定/根拠:『なぜ無料で使えるのか』の納得材料。園長視点の解説と接続できる
保育士 転職サイト 20代,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 30代,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職サイト 40代,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 50代,C1_転職サイト・エージェント比較,50,Buy,A,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 未経験,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト ブランク,C1_転職サイト・エージェント比較,50,Buy,A,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト パート,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 地方,C1_転職サイト・エージェント比較,50,Buy,A,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職サイト 正社員,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 派遣会社 おすすめ,C1_転職サイト・エージェント比較,500,Buy,A,High,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 派遣会社 比較,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 単発バイト アプリ,C1_転職サイト・エージェント比較,500,Buy,A,Mid,低,,推定/根拠:単発系アプリ（ジョブスポ等）流入。アプリDL訴求と相性
保育士 求人アプリ おすすめ,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 スカウトサービス,C1_転職サイト・エージェント比較,100,Buy,A,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 ハローワーク 転職サイト どっち,C1_転職サイト・エージェント比較,100,Know,B,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 転職フェア,C1_転職サイト・エージェント比較,500,Go,B,Mid,中,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 就職フェア 東京,C1_転職サイト・エージェント比較,100,Go,B,Mid,中,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 転職相談 無料,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定
保育士 紹介会社 やめとけ,C1_転職サイト・エージェント比較,50,Know,B,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 辞めたい,C2_退職・辞めたい・人間関係,"5,000",Know,B,High,低,,推定/根拠:主要メディアが総取り。ただし派生ロングテールの母数が最大の鉱脈
保育士 辞めたい 1年目,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,40,推定/根拠:年次別派生。新卒離職の検索が春〜夏に集中する季節KW
保育士 辞めたい 2年目,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 辞めたい 3年目,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 辞めたい 新卒,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 辞めたい 人間関係,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,41,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 人間関係 悩み,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:離職理由1位（33.5〜38%）。体験談需要が強くAI耐性高
保育士 人間関係 最悪,C2_退職・辞めたい・人間関係,100,Know,C,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 職場 いじめ,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 先輩 きつい,C2_退職・辞めたい・人間関係,100,Know,C,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 主任 パワハラ,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 園長 パワハラ 相談,C2_退職・辞めたい・人間関係,100,Do,B,Low,低,,推定/根拠:園長が書く『園長のパワハラ対処』は強烈な当事者性。相談先の一次情報で勝負
保育士 もう限界,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 仕事 つらい,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 向いてない,C2_退職・辞めたい・人間関係,"1,000",Know,B,Mid,低,42,推定/根拠:自己否定系は滞在が長くAIに食われにくい。『向いてないのではなく園が合っていない』で受ける
保育士 向いてない 辞めたい,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 病んだ,C2_退職・辞めたい・人間関係,100,Know,C,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 うつ 休職,C2_退職・辞めたい・人間関係,100,Know,C,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 適応障害 退職,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 退職 言い方,C2_退職・辞めたい・人間関係,500,Do,B,Mid,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 退職 切り出し方,C2_退職・辞めたい・人間関係,500,Do,B,Mid,中,43,推定/根拠:『園長にどう言うか』＝園長監修の当事者性が直撃する型
保育士 退職 引き止め 断り方,C2_退職・辞めたい・人間関係,100,Do,B,Low,低,44,推定/根拠:引き止める側の論理を園長が開示できる。競合の書けない角度
保育士 退職代行,C2_退職・辞めたい・人間関係,500,Do,A,Mid,低,,推定/根拠:退職代行ASP案件と接続可。専門メディア＋代行業者が競合
保育士 退職代行 使ってみた,C2_退職・辞めたい・人間関係,100,Know,A,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 退職代行 その後 再就職,C2_退職・辞めたい・人間関係,50,Know,A,Low,低,45,推定/根拠:『代行を使うと次の選考に響くか』は採用側しか答えられない。園長監修の独壇場
保育士 バックレ,C2_退職・辞めたい・人間関係,100,Know,C,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 即日退職,C2_退職・辞めたい・人間関係,100,Do,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 年度途中 退職,C2_退職・辞めたい・人間関係,500,Know,B,Mid,中,,推定/根拠:民法627条の法的根拠解説が定番。事実部分はAIに食われやすい
保育士 年度途中 辞める 迷惑,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,46,推定/根拠:『園はどう思うか』を園長が answering できる希少KW
保育士 退職 3月末,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 退職 一身上の都合,C2_退職・辞めたい・人間関係,100,Do,C,Low,高,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 辞めて良かった,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:体験談型。AI Overviews耐性が最も高い層
保育士 辞めた後 何してる,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 辞めたい 親に言えない,C2_退職・辞めたい・人間関係,50,Know,C,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 持ち帰り仕事 多すぎ,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 サービス残業 違法,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 休憩なし 違法,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 配置基準 きつい,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 早番 遅番 つらい,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 行事 準備 大変,C2_退職・辞めたい・人間関係,100,Know,C,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 保護者対応 疲れた,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 モンスターペアレント 対応,C2_退職・辞めたい・人間関係,500,Know,C,Mid,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育園 辞める 手順,C2_退職・辞めたい・人間関係,100,Do,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 退職届 書き方,C2_退職・辞めたい・人間関係,500,Do,C,Mid,高,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）
保育士 給料,C3_給料・年収・処遇改善,"10,000",Know,C,High,高,,推定/根拠:数値回答型でAI Overviews直撃。大手が独占。新規は非推奨
保育士 給料 安い 理由,C3_給料・年収・処遇改善,"1,000",Know,B,High,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 手取り,C3_給料・年収・処遇改善,"5,000",Know,C,High,高,,推定/根拠:20代16.6万/30代17万/40代19.5万等の数値が各社に流通＝AIが要約しやすい
保育士 年収,C3_給料・年収・処遇改善,"5,000",Know,C,High,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
